RANK	REG	CODE	Airport	Airport location	Passengers 2011	Passengers 2010	% Change
89	NAM	TPA	TAMPA FL, US (TPA)	TAMPA FL, US (TPA) Airport	16732051	16645765	0.5
90	LAC	CGH	SÃO PAULO, BR (CGH)	SÃO PAULO, BR (CGH) Airport	16687731	15441789	7.5
91	LAC	BSB	BRASILIA, BR (BSB)	BRASILIA, BR (BSB) Airport	15801122	14824113	6.2
92	ASP	CTS	SAPPORO, JP (CTS)	SAPPORO, JP (CTS) Airport	15773073	16745235	-6.2
93	ASP	XMN	XIAMEN, CN (XMN)	XIAMEN, CN (XMN) Airport	15753183	13248367	15.9
94	MEA	RUH	RIYADH, SA (RUH)	RIYADH, SA (RUH) Airport	15432950	14136837	8.4
95	ASP	FUK	FUKUOKA, JP (FUK)	FUKUOKA, JP (FUK) Airport	15431078	16404617	-6.3
96	LAC	GIG	RIO DE JANEIRO, BR (GIG)	RIO DE JANEIRO, BR (GIG) Airport	15184350	12605637	17.0
97	EUR	HEL	HELSINKI, FI (HEL)	HELSINKI, FI (HEL) Airport	14851675	12866036	13.4
98	EUR	LIS	LISBON, PT (LIS)	LISBON, PT (LIS) Airport	14791260	14058751	5.0
99	EUR	ATH	ATHENS, GR (ATH)	ATHENS, GR (ATH) Airport	14428032	15390156	-6.7
100	ASP	AKL	AUCKLAND, NZ (AKL)	AUCKLAND, NZ (AKL) Airport	14012329	13705116	2.2
